16
Circle -75,-287,50,50 102,0,102
Circle 24,238,52,52 102,0,102
Circle -289,23,54,54 102,0,102
Circle 235,-77,54,54 102,0,102
Circle -254,-203,56,56 102,0,102
Circle 196,149,56,56 102,0,102
Circle 149,-248,50,50 102,0,102
Circle -204,201,54,54 102,0,102
Square -63,-275,26,26 255,0,255
Square -243,-192,30,30 255,0,255
Square -278,37,30,30 255,0,255
Square -192,214,28,28 255,0,255
Square 36,251,28,28 255,0,255
Square 208,160,30,30 255,0,255
Square 247,-66,30,30 255,0,255
Square 161,-237,24,24 255,0,255
