16
Circle -177,-259,54,54 103,0,103
Circle 123,207,54,54 103,0,103
Circle -261,125,54,54 103,0,103
Circle 207,-175,54,54 103,0,103
Circle -313,-95,56,56 103,0,103
Circle 256,40,56,56 103,0,103
Circle 38,-311,56,56 103,0,103
Circle -95,258,56,56 103,0,103
Square -166,-246,30,30 255,0,255
Square -302,-83,32,32 255,0,255
Square -250,137,30,30 255,0,255
Square -84,269,32,32 255,0,255
Square 136,221,28,28 255,0,255
Square 269,53,30,30 255,0,255
Square 218,-163,30,30 255,0,255
Square 48,-301,34,34 255,0,255
