16
Circle -127,-276,54,54 111,0,107
Circle 75,226,52,52 111,0,107
Circle -276,75,52,52 111,0,107
Circle 223,-126,54,54 111,0,107
Circle -288,-151,52,52 111,0,107
Circle 238,99,52,52 111,0,107
Circle 99,-285,50,50 111,0,107
Circle -152,238,52,52 111,0,107
Square -115,-264,30,30 255,0,251
Square 108,-276,28,28 255,0,251
Square -280,-140,30,30 255,0,251
Square -265,85,30,30 255,0,251
Square 235,-114,30,30 255,0,251
Square 248,110,30,30 255,0,251
Square 87,238,28,28 255,0,251
Square -141,250,28,28 255,0,251
