16
Circle -25,-301,52,52 103,0,100
Circle -302,-25,52,52 103,0,100
Circle 249,-25,52,52 103,0,100
Circle -26,249,54,54 103,0,100
Circle -226,-225,52,52 103,0,100
Circle -226,174,54,54 103,0,100
Circle 173,173,56,56 103,0,100
Circle 172,-227,56,56 103,0,100
Square -13,-289,26,26 255,0,255
Square -213,-212,26,26 255,0,255
Square -291,-12,26,26 255,0,255
Square -213,188,26,26 255,0,255
Square -14,259,28,28 255,0,255
Square 184,-214,30,30 255,0,255
Square 262,-12,24,24 255,0,255
Square 186,187,28,28 255,0,255
