23
Polygon -50,-68;-22,66;34,60;42,-84 0,0,0
Polygon -41,-65;-92,-34;-109,1;-38,-35 0,0,0
Polygon 38,-76;96,-44;82,19;74,-29;30,-46 0,0,0
Polygon -21,54;-32,103;-62,141;-38,158;-36,134;-7,97;-6,42 0,0,0
Polygon 5,61;17,102;5,141;33,153;29,131;38,103;32,55 0,0,0
Circle -43,-136,62,62 0,0,0
Polygon 135,-81;82,-42;65,33;93,69;127,25;145,-42 0,96,0
Polygon 90,-36;75,27;94,52;117,19;133,-43;130,-66 255,103,0
Polygon 97,21;94,-11;114,-35;112,-7 0,105,0
Polygon -98,-10;-106,88;-82,102;-68,77;-90,-11 0,105,0
Polygon -90,66;-99,80;-87,84;-81,73 255,105,0
Polygon -117,-5;-81,-75;-30,-67 125,0,0
Polygon 52,-96;14,-67;86,-47 125,0,0
Polygon -23,-69;-57,-37;-19,14;16,13;46,-47;14,-74 125,0,0
Circle -31,-66,54,54 59,107,0
Circle -18,-54,28,28 255,107,0
Polygon -27,27;-20,96;4,27 111,0,0
Polygon -2,29;25,92;31,21 111,0,0
Polygon -73,157;-13,158;-30,141;-23,109;-37,101 111,0,0
Polygon 54,159;-1,157;10,109;27,113;33,141 111,0,0
Rectangle -35,15,74,14 0,111,0
Polygon -44,-116;18,-91;26,-121 0,111,0
Polygon -22,-127;-42,-143;-18,-187 0,111,0
