23
Rectangle -8,-162,16,29 189,189,0
Rectangle -7,-130,16,29 189,189,0
Rectangle -6,-95,16,25 189,189,0
Rectangle -8,-63,18,26 189,189,0
Rectangle -7,-28,17,20 189,189,0
Rectangle -6,0,16,25 189,189,0
Rectangle -5,34,15,23 189,189,0
Rectangle -7,68,17,25 189,189,0
Rectangle -6,98,12,27 189,189,0
Rectangle -7,133,13,28 189,189,0
Rectangle -9,-10,21,21 189,189,0
Rectangle 18,-5,20,16 189,189,0
Rectangle 45,-6,24,19 189,189,0
Rectangle 74,-7,21,17 189,189,0
Rectangle 103,-3,24,17 189,189,0
Rectangle 134,-6,26,19 189,189,0
Rectangle -38,-3,22,16 189,189,0
Rectangle -73,13,0,0 189,189,0
Rectangle -394,-326,0,0 189,189,0
Rectangle -70,-4,24,21 189,189,0
Rectangle -105,-7,26,19 189,189,0
Rectangle -140,-6,28,18 189,189,0
Rectangle -171,-4,21,17 189,189,0
